munCode,munName,capital,provinceCode,provinceName
03061,Daya Nueva,Daya Nueva,03,Alicante/Alacant
03062,Daya Vieja,Daya Vieja,03,Alicante/Alacant
03063,Dénia,Dénia,03,Alicante/Alacant
03064,Dolores,Dolores,03,Alicante/Alacant
03065,Elche/Elx,Elche/Elx,03,Alicante/Alacant
03066,Elda,Elda,03,Alicante/Alacant
03067,Facheca,Facheca,03,Alicante/Alacant
03068,Famorca,Famorca,03,Alicante/Alacant
03069,Finestrat,Finestrat,03,Alicante/Alacant
03070,Formentera del Segura,Formentera del Segura,03,Alicante/Alacant
03071,Gata de Gorgos,Gata de Gorgos,03,Alicante/Alacant
03072,Gaianes,Gaianes,03,Alicante/Alacant
03073,Gorga,Gorga,03,Alicante/Alacant
03074,Granja de Rocamora,Granja de Rocamora,03,Alicante/Alacant
03075,Castell de Guadalest, el,Castell de Guadalest, el,03,Alicante/Alacant
03076,Guardamar del Segura,Guardamar del Segura,03,Alicante/Alacant
03077,Fondó de les Neus, el/Hondón de las Nieves,Fondó de les Neus, el/Hondón de las Nieves,03,Alicante/Alacant
03078,Hondón de los Frailes,Hondón de los Frailes,03,Alicante/Alacant
03079,Ibi,Ibi,03,Alicante/Alacant
03080,Jacarilla,Jacarilla,03,Alicante/Alacant
03081,Xaló,Xaló,03,Alicante/Alacant
03082,Jávea/Xàbia,Jávea/Xàbia,03,Alicante/Alacant
03083,Jijona/Xixona,Jijona/Xixona,03,Alicante/Alacant
03084,Lorcha/Orxa, l,Lorcha/Orxa, l,03,Alicante/Alacant
03085,Llíber,Llíber,03,Alicante/Alacant
03086,Millena,Millena,03,Alicante/Alacant
03088,Monforte del Cid,Monforte del Cid,03,Alicante/Alacant
03089,Monóvar/Monòver,Monóvar/Monòver,03,Alicante/Alacant
03090,Mutxamel,Mutxamel,03,Alicante/Alacant
03091,Murla,Murla,03,Alicante/Alacant
03092,Muro de Alcoy,Muro de Alcoy,03,Alicante/Alacant
03093,Novelda,Novelda,03,Alicante/Alacant
03094,Nucia, la,Nucia, la,03,Alicante/Alacant
03095,Ondara,Ondara,03,Alicante/Alacant
03096,Onil,Onil,03,Alicante/Alacant
03097,Orba,Orba,03,Alicante/Alacant
03098,Orxeta,Orxeta,03,Alicante/Alacant
03099,Orihuela,Orihuela,03,Alicante/Alacant
03100,Parcent,Parcent,03,Alicante/Alacant
03101,Pedreguer,Pedreguer,03,Alicante/Alacant
03102,Pego,Pego,03,Alicante/Alacant
03103,Penàguila,Penàguila,03,Alicante/Alacant
03104,Petrer,Petrer,03,Alicante/Alacant
03105,Pinós, el/Pinoso,Pinós, el/Pinoso,03,Alicante/Alacant
03106,Planes,Planes,03,Alicante/Alacant
03107,Polop,Polop,03,Alicante/Alacant
03109,Rafal,Rafal,03,Alicante/Alacant
03110,Ràfol dAlmúnia, el,Ràfol dAlmúnia, el,03,Alicante/Alacant
03111,Redován,Redován,03,Alicante/Alacant
03112,Relleu,Relleu,03,Alicante/Alacant
03113,Rojales,Rojales,03,Alicante/Alacant
03114,Romana, la,Romana, la,03,Alicante/Alacant
03115,Sagra,Sagra,03,Alicante/Alacant
03116,Salinas,Salinas,03,Alicante/Alacant
03117,Sanet y Negrals,Sanet y Negrals,03,Alicante/Alacant
03118,San Fulgencio,San Fulgencio,03,Alicante/Alacant
03119,Sant Joan dAlacant,Sant Joan dAlacant,03,Alicante/Alacant
03120,San Miguel de Salinas,San Miguel de Salinas,03,Alicante/Alacant
03121,Santa Pola,Santa Pola,03,Alicante/Alacant
03122,San Vicente del Raspeig/Sant Vicent del Raspeig,San Vicente del Raspeig/Sant Vicent del Raspeig,03,Alicante/Alacant
03123,Sax,Sax,03,Alicante/Alacant
03124,Sella,Sella,03,Alicante/Alacant
03125,Senija,Senija,03,Alicante/Alacant
03127,Tàrbena,Tàrbena,03,Alicante/Alacant
03128,Teulada,Teulada,03,Alicante/Alacant
03129,Tibi,Tibi,03,Alicante/Alacant
03130,Tollos,Tollos,03,Alicante/Alacant
03131,Tormos,Tormos,03,Alicante/Alacant
03132,Torremanzanas/Torre de les Maçanes, la,Torremanzanas/Torre de les Maçanes, la,03,Alicante/Alacant
03133,Torrevieja,Torrevieja,03,Alicante/Alacant
03134,Vall dAlcalà, la,Alcalà de la Jovada,03,Alicante/Alacant
03135,Vall dEbo, la,Vall dEbo, la,03,Alicante/Alacant
03136,Vall de Gallinera,Beniali,03,Alicante/Alacant
03137,Vall de Laguar, la,Vall de Laguar, la,03,Alicante/Alacant
03138,Verger, el,Verger, el,03,Alicante/Alacant
03139,Villajoyosa/Vila Joiosa, la,Villajoyosa/Vila Joiosa, la,03,Alicante/Alacant
03140,Villena,Villena,03,Alicante/Alacant
03901,Poblets, els,Setla,03,Alicante/Alacant
03902,Pilar de la Horadada,Pilar de la Horadada,03,Alicante/Alacant
03903,Montesinos, Los,Montesinos, Los,03,Alicante/Alacant
03904,San Isidro,San Isidro,03,Alicante/Alacant
04001,Abla,Abla,04,Almería
04002,Abrucena,Abrucena,04,Almería
04003,Adra,Adra,04,Almería
04004,Albánchez,Albánchez,04,Almería
04005,Alboloduy,Alboloduy,04,Almería
04006,Albox,Albox,04,Almería
04007,Alcolea,Alcolea,04,Almería
04008,Alcóntar,Alcóntar,04,Almería
04009,Alcudia de Monteagud,Alcudia de Monteagud,04,Almería
04010,Alhabia,Alhabia,04,Almería
04011,Alhama de Almería,Alhama de Almería,04,Almería
04012,Alicún,Alicún,04,Almería
04013,Almería,Almería,04,Almería
04014,Almócita,Almócita,04,Almería
04015,Alsodux,Alsodux,04,Almería
04016,Antas,Antas,04,Almería
04017,Arboleas,Arboleas,04,Almería
04018,Armuña de Almanzora,Armuña de Almanzora,04,Almería
04019,Bacares,Bacares,04,Almería
04020,Bayárcal,Bayárcal,04,Almería
04021,Bayarque,Bayarque,04,Almería
04022,Bédar,Bédar,04,Almería
04023,Beires,Beires,04,Almería
04024,Benahadux,Benahadux,04,Almería
04026,Benitagla,Benitagla,04,Almería
04027,Benizalón,Benizalón,04,Almería
04028,Bentarique,Bentarique,04,Almería
04029,Berja,Berja,04,Almería
04030,Canjáyar,Canjáyar,04,Almería
04031,Cantoria,Cantoria,04,Almería
04032,Carboneras,Carboneras,04,Almería
04033,Castro de Filabres,Castro de Filabres,04,Almería
04034,Cóbdar,Cóbdar,04,Almería
04035,Cuevas del Almanzora,Cuevas del Almanzora,04,Almería
04036,Chercos,Chercos,04,Almería
04037,Chirivel,Chirivel,04,Almería
04038,Dalías,Dalías,04,Almería
04041,Enix,Enix,04,Almería
04043,Felix,Felix,04,Almería
04044,Fines,Fines,04,Almería
04045,Fiñana,Fiñana,04,Almería
04046,Fondón,Fondón,04,Almería
04047,Gádor,Gádor,04,Almería
04048,Gallardos, Los,Gallardos, Los,04,Almería
04049,Garrucha,Garrucha,04,Almería
04050,Gérgal,Gérgal,04,Almería
04051,Huécija,Huécija,04,Almería
04052,Huércal de Almería,Huércal de Almería,04,Almería
04053,Huércal-Overa,Huércal-Overa,04,Almería
04054,Illar,Illar,04,Almería
04055,Instinción,Instinción,04,Almería
04056,Laroya,Laroya,04,Almería
04057,Láujar de Andarax,Láujar de Andarax,04,Almería
04058,Líjar,Líjar,04,Almería
04059,Lubrín,Lubrín,04,Almería
04060,Lucainena de las Torres,Lucainena de las Torres,04,Almería
04061,Lúcar,Lúcar,04,Almería
04062,Macael,Macael,04,Almería
04063,María,María,04,Almería
04064,Mojácar,Mojácar,04,Almería
04065,Nacimiento,Nacimiento,04,Almería
04066,Níjar,Níjar,04,Almería
04067,Ohanes,Ohanes,04,Almería
04068,Olula de Castro,Olula de Castro,04,Almería
04069,Olula del Río,Olula del Río,04,Almería
04070,Oria,Oria,04,Almería
04071,Padules,Padules,04,Almería
04072,Partaloa,Partaloa,04,Almería
04073,Paterna del Río,Paterna del Río,04,Almería
04074,Pechina,Pechina,04,Almería
04075,Pulpí,Pulpí,04,Almería
04076,Purchena,Purchena,04,Almería
04077,Rágol,Rágol,04,Almería
04078,Rioja,Rioja,04,Almería
04079,Roquetas de Mar,Roquetas de Mar,04,Almería
04080,Santa Cruz de Marchena,Santa Cruz de Marchena,04,Almería
04081,Santa Fe de Mondújar,Santa Fe de Mondújar,04,Almería
04082,Senés,Senés,04,Almería
04083,Serón,Serón,04,Almería
04084,Sierro,Sierro,04,Almería
04085,Somontín,Somontín,04,Almería
04086,Sorbas,Sorbas,04,Almería
04087,Suflí,Suflí,04,Almería
04088,Tabernas,Tabernas,04,Almería
04089,Taberno,Taberno,04,Almería
04090,Tahal,Tahal,04,Almería
04091,Terque,Terque,04,Almería
04092,Tíjola,Tíjola,04,Almería
04093,Turre,Turre,04,Almería
04094,Turrillas,Turrillas,04,Almería
04095,Uleila del Campo,Uleila del Campo,04,Almería
04096,Urrácal,Urrácal,04,Almería
04097,Velefique,Velefique,04,Almería
04098,Vélez-Blanco,Vélez-Blanco,04,Almería
04099,Vélez-Rubio,Vélez-Rubio,04,Almería
04100,Vera,Vera,04,Almería
04101,Viator,Viator,04,Almería
04102,Vícar,Vícar,04,Almería
04103,Zurgena,Zurgena,04,Almería
04901,Tres Villas, Las,Doña María Ocaña,04,Almería
04902,Ejido, El,Ejido, El,04,Almería
04903,Mojonera, La,Mojonera, La,04,Almería
05001,Adanero,Adanero,05,Ávila
05002,Adrada, La,Adrada, La,05,Ávila
05005,Albornos,Albornos,05,Ávila
